1	Georgia Taylor-Brown	GBR	00:26:23 (5)	01:59:23 (3)	01:09:40 (4)	3:38:03	F	T100 Spain 2026
2	Julie Derron	SUI	00:26:37 (12)	01:58:42 (2)	01:11:45 (8)	3:39:23	F	T100 Spain 2026
3	Taylor Spivey	USA	00:26:14 (2)	02:04:18 (13)	01:08:34 (3)	3:41:29	F	T100 Spain 2026
4	Holly Lawrence	GBR	00:26:26 (6)	02:02:17 (8)	01:10:46 (6)	3:42:09	F	T100 Spain 2026
5	Alanis Siffert	SUI	00:28:37 (16)	01:56:40 (1)	01:15:05 (10)	3:42:28	F	T100 Spain 2026
6	Lizzie Rayner	GBR	00:27:54 (15)	02:00:30 (4)	01:11:32 (7)	3:42:50	F	T100 Spain 2026
7	Imogen Simmonds	SUI	00:26:29 (9)	02:00:53 (7)	01:13:26 (9)	3:43:28	F	T100 Spain 2026
8	Audrey Merle	FRA	00:27:25 (14)	02:03:26 (11)	01:10:35 (5)	3:43:54	F	T100 Spain 2026
9	Cathia Schaer	SUI	00:29:14 (17)	02:04:26 (14)	01:08:14 (2)	3:44:09	F	T100 Spain 2026
10	Daniela Kleiser	GER	00:33:52 (20)	02:00:38 (5)	01:07:25 (1)	3:44:44	F	T100 Spain 2026
11	Sophie Evans	GBR	00:26:18 (3)	02:02:45 (9)	01:15:06 (11)	3:46:49	F	T100 Spain 2026
12	Lotte Wilms	NED	00:26:35 (11)	02:06:21 (16)	01:15:36 (12)	3:51:59	F	T100 Spain 2026
13	Hanne De Vet	BEL	00:26:32 (10)	02:02:47 (10)	01:21:07 (16)	3:53:08	F	T100 Spain 2026
14	Kaidi Kivioja	EST	00:30:48 (18)	02:00:52 (6)	01:19:10 (15)	3:53:13	F	T100 Spain 2026
15	Sara Perez Sala	ESP	00:26:12 (1)	02:03:34 (12)	01:21:19 (17)	3:53:44	F	T100 Spain 2026
16	Nicole Van der Kaay	NZL	00:26:27 (7)	02:05:36 (15)	01:22:05 (18)	3:56:24	F	T100 Spain 2026
17	Bianca Bogen	GER	00:26:27 (7)	02:10:30 (18)	01:17:28 (13)	3:56:59	F	T100 Spain 2026
18	Petra Kurikova	CZE	00:27:24 (13)	02:10:11 (17)	01:17:46 (14)	3:57:59	F	T100 Spain 2026
	Natalie Van Coevorden	AUS	00:26:20 (4)			DNF	F	T100 Spain 2026
	India Lee	GBR	00:32:49 (19)			DNF	F	T100 Spain 2026
